DISCORD ID,DRIVER,PENALTY,PENALTY,SEVERITY,RECORD,CATEGORY,NOTES
,Buda,SL11R9,Pre-Penalty,None,1st offence,Careless Driving - Edging/Lane Changing,Position Given Back to Nuno 
,Buda,SL11R5,Reminder,1 (Minor),no offence,Aggressive Driving - Edging,(21:35)
,Buda,SL11R5,Reminder,1 (Minor),no offence,Careless Driving - Abrupt Lane-Change,(3:57) - Upon unsafe re-entry goes across track pushing nuno off.
,Buda,SL11R9,Reminder,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,(7:52)
,Buda,SL11R4,Reminder,1 (Minor),no offence,Chatting During Countdown,
,Buda,SL11R5,Reminder,1 (Minor),no offence,Unsafe Track Re-Entry,(3:57)
,Buda,SL11R10,Reminder 2,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,(10:39
,Buda,UL12R8,Reminder 2,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,https://youtu.be/pUgw6mdiXow?t=1431
,Buda,SL11R7,Time-Penalty (5s),1 (Minor),1st offence,Chatting During Countdown,
,Buda,UL12R8,Warning,1 (Minor),1st offence,Careless Driving - Leaving Open Lanes,https://youtu.be/pUgw6mdiXow?t=448
,Buda,SL11R5,Warning,1 (Minor),1st offence,Chatting During Countdown,NEXT OFFENCE = 5s time pen
,Butter_lord,CL8S10,Reminder,1 (Minor),no offence,Chatting During Countdown,
,CADR,CL8F8,CONNECTION,2 (Moderate),CONNECTION,LAG / PING Trailers Causing Accident,(17:56) (19:35) Has had teleporting in past - now trailers will be tarcked a penalized if they continue to cause major issues.
,CADR,CL11F5,CONNECTION,2 (Moderate),CONNECTION,LAG / PING Trailers Causing Accident,https://youtu.be/z_lE25L6Nhc?t=1026
,CADR,CL9F1,Education,nil,CONNECTION,PING TRAILERS Awareness,https://gyazo.com/4335a830de6b869a056dca632ba703cf
,CADR,CL8F1,Reminder,1 (Minor),no offence,Careless Driving - Edging/Lane Changing,(14:38) Lap 1 lane crossing - Stay in your lane on straight (15:28)
,CADR,CL8F8,Reminder,1 (Minor),no offence,Careless driving - Swerving,(25:27) 
,CADR,JL4R1,Reminder,1 (Minor),no offence,Chatting During Countdown,
,CADR,JL6R1,Reminder,1 (Minor),no offence,Leaving Open Lanes,https://youtu.be/ULvMSCM8ZiU?t=631 10:31
,CADR,JL5R3,Reminder,1 (Minor),no offence,Pitlane Violation - Improper re-entry,(3:53 of Race)
,CADR,CL11F6,Reminder,1 (Minor),no offence,Careless Driving - Edging/Lane Changing,https://youtu.be/FsIl5dm5DBQ?t=885
,CADR,CL11F6,Reminder,1 (Minor),no offence,Late Break,https://youtu.be/FsIl5dm5DBQ?t=1001
,CADR,CL8F9,Reminder 2,1 (Minor),1st offence,Careless Driving - Edging/Lane Changing,(33:11)
,CADR,JL4R3,Reminder 2,1 (Minor),no offence,Careless Driving - Edging/Lane Changing,(14:32)
,CADR,CL9S4,Reminder 2,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,https://youtu.be/e6-DL1aBqTs?t=365
,CADR,CL9F1,Reminder 2,1 (Minor),no offence,Pitlane Violation - Improper Entry,https://gyazo.com/207ec308ecdb43955587e86e6609c982 ALWAYS drive on lane that entry is on
,CADR,JL6R5,Warning,2 (Moderate),no offence,Divebomb,https://youtu.be/fDyQAN3XVUQ?t=655
,CADR,CL11S6,Warning,1 (Minor),no offence,Leaving open lanes,https://youtu.be/FsIl5dm5DBQ?t=138
,CADR,CL11F6,Warning,1 (Minor),no offence,Careless driving - Swerving,https://youtu.be/FsIl5dm5DBQ?t=985
,Carmona,JL8R5,Reminder,1 (Minor),no offence,Unsafe Track Re-Entry,01:22
,cesart,JL5R1,Reminder,1 (Minor),no offence,Agressive Driving - Divebomb,(6:55)
,cesart,JL5R1,Reminder,1 (Minor),1st offence,Unsafe Track Re-Entry,(6:04)
,Charged GT,CL9S4,Warning,1 (Minor),no offence,Agressive driving (4 instances),https://youtu.be/e6-DL1aBqTs
,ChargedJT,UL13R4,Reminder,1 (Minor),no offence,Leaving Open Lanes,25:50.11
,Chevrolet,CL8F9,Reminder,1 (Minor),no offence,Careless Driving - Divebombing,(42:59)
,Chevrolet,CL8SF,Reminder,1 (Minor),no offence,Chatting during race,
,Chevrolet,CL9F1,Reminder,1 (Minor),no offence,Late Break,https://gyazo.com/212425c604b1098e3ca00d4c5bf207ae
,Chevrolet,CL9F1,Warning,1 (Minor),no offence,Aggressive Driving - Bumping/Swerving ,https://gyazo.com/32877f822da9836ec9f34aea4ca5887b
