DISCORD ID,DRIVER,PENALTY,PENALTY,SEVERITY,RECORD,CATEGORY,NOTES
,Hypermustang,JL5R2,Reminder,1 (Minor),no offence,Chatting During Countdown,
,IchBowspamme,JL8R1,Reminder,1 (Minor),no offence,Late Breaking,https://youtu.be/5mGsbpAzLUE?t=193
,IchBowspamme,JL7R4,Reminder ,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,https://youtu.be/6imH3M5Jkb8?t=51
,IchBowspamme,JL7R4,Reminder ,1 (Minor),no offence,Unsafe Track Re-Entry,https://youtu.be/6imH3M5Jkb8?t=451
,Ikeloski,JL4R3,Reminder,1 (Minor),no offence,Careless Driving - Abrupt Lane-Change,(9:38)
,Ikeloski,JL4R3,Reminder,1 (Minor),no offence,Chatting During Countdown,
,Jakeee,SL11R1,Reminder,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,(14:55) Stay on line when in turn with other driver - or don't choose a sharp line
,Jakeee,CL8F1,Reminder,1 (Minor),no offence,Careless Driving - Unsafe Track Re-entry,(15:14) 
,Jakeee,CL8F1,Reminder,1 (Minor),no offence,Chatting During Countdown,
,Jakeee,CL8S1,Reminder,1 (Minor),no offence,Entering a lobby mid-race,Re-Entering Race After connection-DNF
,Jakeee,CL8F3,Reminder 2,1 (Minor),no offence,Aggressive Driving - Bumping/Swerving ,(28:58)
,jeffdaejaff,JL8R2,Reminder,1 (Minor),no offence,Edging,https://youtu.be/A6FGNJ6sFSg?t=215
,jeffdaejaff,JL8R2,Reminder 2,1 (Minor),no offence,Unsafe Track Re-Entry,https://youtu.be/A6FGNJ6sFSg?t=232
,jeffdaejaff,JL8R2,Reminder 2,1 (Minor),no offence,Unsafe Track Re-Entry,https://youtu.be/A6FGNJ6sFSg?t=336
,Jeffdaejeff,JL7R3,Reminder ,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,https://youtu.be/VzyyHtTBIQY?t=289
,Jeffdaejeff,JL7R3,Reminder ,1 (Minor),no offence,Chatting Duirng Countdown,
,JeffdaeJeff,JL7R4,Reminder ,1 (Minor),no offence,Unsafe Track Re-Entry,(5:13)
,Jeffdaejeff,JL7R3,Reminder ,1 (Minor),no offence,Unsafe Track Re-Entry,https://youtu.be/VzyyHtTBIQY?t=315
,jeffdaejeff,JL8R5,Reminder  2,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,01:08
,Jeffdaejeff,JL7R3,Warning,3 (Major),no offence,Unsportsmanlike conduct,https://youtu.be/VzyyHtTBIQY?t=1000
,Jeruniy,UL13R5,Absolute Warning,3 (Major),no offence,Leaving Race on manual DNF,
,jeruniy,UL12R9,Final Warning,2 (Moderate),no offence,Agressive Driving - Divebomb,https://cdn.discordapp.com/attachments/1118853982920646677/1118988295238602812/ul12r9_L38_jeru.mp4
,jeruniy,UL12R9,Final Warning,1 (Minor),no offence,Unsafe Track Re-Entry,https://cdn.discordapp.com/attachments/1118853982920646677/1118988294718504960/ul12r9_L27_jeru.mp4
,Jeruniy,SL11R8,Pre-Penalty,None,1st offence,Agressive Driving - Divebomb,Gave position to Danimator
,Jeruniy,SL11R10,Pre-Penalty,None,1st offence,Careless Driving - Leaving Open Lanes DRAWING ,(29:11) Drew a 3 s penalty on Urist on final lap - position awarded to Urist    APPEALED - not enough precedent to withold position swap
,Jeruniy,SL11R2,Reminder,1 (Minor),no offence,Agressive Driving - Divebomb,(22:46) risk of drawing a penalty
,Jeruniy,SL11R7,Reminder,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,(5:30)
,Jeruniy,CL8S3,Reminder,1 (Minor),no offence,Chatting During Countdown,
,Jeruniy,UL14R3,Reminder,1 (Minor),no offence,Divebomb - trailer issue,https://www.youtube.com/watch?v=wqUHKY-TDTI&t=505s
,Jeruniy,CL8F1,Reminder,1 (Minor),no offence,PING TRAILERS,(25:16)  Be aware of lanes when both drivers are high PINGers
,Jeruniy,CL8F1,Reminder,1 (Minor),no offence,Unsafe Track Re-Entry,(5:42.18 of race) L11 T1
,Jeruniy,UL12R8,Reminder 2,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,https://youtu.be/pUgw6mdiXow?t=349
,Jeruniy,CL8F5,Reminder 2,1 (Minor),no offence,Unsafe Track Re-Entry (Same race),(4:24)
,Jeruniy,CL8F5,Reminder 2 ,1 (Minor),no offence,Unsafe Track Re-Entry ,(:39)
,Jeruniy,SL11R8,Warning,1 (Minor),no offence,Agressive Driving - Divebomb,(12:04) was in rain ** next offence is FINAL WARNING
,jeruniy,UL12R9,Warning,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,https://cdn.discordapp.com/attachments/1118853982920646677/1118988294718504960/ul12r9_L27_jeru.mp4
,Jeruniy,UL12R3,Warning,1 (Minor),no offence,Unsafe Track Re-Entry ,https://youtu.be/D8rKVJnREOg?t=426
,Jeruniy,UL12R7,Final Warning,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,https://cdn.discordapp.com/attachments/1169386742063829022/1179268410182479872/3rd.mp4?ex=65792a4a&is=6566b54a&hm=85f18ad7d266d372e6a47cdc7961c4ddc8085c60f8528aea228692966bdb8bde&
,Joe 27,JL4R2,Reminder,1 (Minor),no offence,Entering a lobby mid-race,Entered game late - told to check laps complete in lobby
,joporsche,CL8F9,Pre-Penalty,None,1st offence,Careless Driving - Divebombing / Open Lanes,(44:02) give position to KiATO
,joporsche,CL8S2,Reminder,1 (Minor),no offence,Agressive Driving - Divebomb,(5:14)
,joporsche,JL4R2,Reminder,1 (Minor),no offence,Careless Driving - Abrupt Lane-Change,(8:34) Likely a trailer - but careful nonetheless
,joporsche,JL5R2,Reminder,1 (Minor),no offence,Unsafe Track Re-Entry (Pits),( 7:41 ) 
,joporsche,CL9F8,Reminder	1 (Minor)	no offence	Careless Driving - Leaving Open Lanes,,,,https://youtu.be/ySuNPE938Vs?t=1940
,joporsche,CL9F4,Reminder ,1 (Minor),no offence,Swerving ,https://youtu.be/e6-DL1aBqTs?t=969
,joporsche,JL5R4,Reminder (Advisory),1 (Minor),no offence,Pit Exit,No incident just very close call
,Juan,CL8F9,CONNECTION,2 (Moderate),CONNECTION,LAG / PING Trailers Severe teleporting,(26:27) Twice in One Day
,Juan,JL5R4,CONNECTION,2 (Moderate),CONNECTION,LAG / PING Trailers Severe teleporting,(3:52)  Knows that more issues like this will result in trailer penalties
,Juan,JL6R3,CONNECTION,4 (Severe),CONNECTION,Severe teloporting,https://youtu.be/N5Ye3gjsAOM?t=436
,Juan,JL6R2,CONNECTION,3 (Major),LAG / PING Trailers Severe teleporting,,Secoind incdent of severe connection issue - please enter connection re-hab
,Juan,May '23,CONNECTION BAN,5 (Absolute),CONNECTION,Connect no longer eligible for racing,Must re-test to re-enter grids
,Juan,CL8S9,Reminder,1 (Minor),no offence,Agressive Driving - Divebomb,(16:46)
,Juan,CL8SF,Reminder,1 (Minor),no offence,Agressive Driving - Divebomb,(16:56)
,Juan,JL5R4,Reminder,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,(5:16) *** Very tricky turn but still something to look out for
,Juan,JL6R3,Reminder,1 (Minor),no offence,Chatting during countdown,
,Juan,CL8S8,Reminder,1 (Minor),no offence,Swerving ,"(6:51) Lots of lag and swerving - if you are laggy, especially, u cannot swerve!"
,Juan,JL8R5,Reminder,1 (Minor),no offence,Unsafe Track Re-Entry,06:31
,Juan,UL14,Server Mute Warning,4 (Severe),no offence,Server-Mute ,For public toxic arguments and name calling Nov 28
,Kad'O,UL14R2,CONNECTION,4 (Severe),CONNECTION,10s time penalty for really bad connection,
,Kad'O,SL11R5,CONNECTION,2 (Moderate),CONNECTION,LAG / PING Trailers Severe teleporting,(8:38)
,Kad'O,SL11R8,Reminder,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,(6:33)
,Kad'O,SL11R7,Reminder,1 (Minor),no offence,Careless Driving - Swerving,(9:32)
,Kad'O,CL8F4,Reminder,1 (Minor),no offence,Chatting During Countdown,2nd offence in same day
,Kad'O,CL8S4,Reminder,1 (Minor),no offence,Chatting During Countdown,
,Kad'O,SL11R4,Reminder,1 (Minor),no offence,Chatting During Countdown,
,Kad'O,UL12R1,Reminder,1 (Minor),no offence,Late Break,https://gyazo.com/595b87c3848f8314f1261b8bc0dac414
,Kad'O,SL11R5,Reminder,1 (Minor),no offence,Unsafe Track Re-Entry,(8:38)
,Kad'O,CL9S1,Reminder ,1 (Minor),no offence,abrupt Lane Change,https://youtu.be/8jH80NXqlnY?t=1186
,Kad'O,CL9F8,Reminder ,1 (Minor),no offence,Edging (Ping trailer mgmt),https://youtu.be/ySuNPE938Vs?t=1461
,Kad'O,UL13R3,Reminder  2,1 (Minor),no offence,Edging (Ping trailer mgmt),https://youtu.be/Zfxto-TISuo?t=385
,Kad'O,SL11R10,Reminder 2,1 (Minor),1st offence,Careless Driving - Leaving Open Lanes,(6:29)
,Kad'O,SL11R10,Reminder 2,1 (Minor),1st offence,Careless Driving - Swerving,(5:31)
,Kad'O,CL10R3,Reminder 2,1 (Minor),no offence,Late Brake,https://youtu.be/o2KTPQ4domw?t=2948
,Kad'O,SL11R6,Reminder 2,1 (Minor),1st offence,Unsafe Track Re-Entry,Lap 4 @ Water Snakes 
,Kad'O,UL12R1,Warning,1 (Minor),no offence,Careless Driving - Leaving Open Lanes / PING Trailer,https://gyazo.com/88e46e333087d1d5a210f8c884076457 - https://gyazo.com/38131134dfb9056f14b2de4d28c903a4 - https://gyazo.com/7bb84c6c16b68a989dbf132a440e0113 -
,Kad'O,UL13R3,Warning,1 (Minor),no offence,Unsafe Track Re-Entry,https://youtu.be/gq7LWv1QDkE?t=947
,Kalitka,CL9S9,Final Warning,1 (Minor),no offence,Chatting During Countdown,
,Kalitka,JL7R2,Reminder,2 (Moderate),no offence,Agressive Driving - Divebomb,https://youtu.be/CUPQ253V8Mo?t=745
,Kalitka,JL7R2,Reminder,1 (Minor),no offence,Careless Driving - Late Break,https://youtu.be/CUPQ253V8Mo?t=738
,Kalitka,JL6R2,Reminder,1 (Minor),no offence,Chatting During race,
,Kalitka,JL7R3,Reminder 2,1 (Minor),no offence,Chatting During Race - & Swearing,
,Kalitka,JL7R4,Warning,1 (Minor),no offence,Chatting During Race,
,Kalitka,JL7R3,Warning,3 (Major),no offence,Leaving Race on manual DNF,
,KiATO,CL9S2,CONNECTION,1 (Minor),no offence,PING trailers ,https://youtu.be/PirlLtjxeOg?t=587
,KiATO,CL11S5,Final Warning,1 (Minor),no offence,Chatting During Countdown,
,KiATO,CL11F5,Final Warning,1 (Minor),no offence,Leaving open lanes,https://youtu.be/z_lE25L6Nhc?t=435
,KiATO,CL11F5,Final Warning,1 (Minor),no offence,Leaving open lanes (same day),https://youtu.be/z_lE25L6Nhc?t=1110 (watch until enters pits)
,KiATO,JL4R1,Reminder,1 (Minor),no offence,Aggressive Driving - Bumping/Swerving ,(13:10) Weaving mid-corner cutting off driver behind
,KiATO,JL4R2,Reminder,1 (Minor),no offence,Careless Driving - Abrupt Lane-Change,(7:09) Cuts off vlad - vlad goes to grass soon after
,KiATO,JL6R2,Reminder,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,
,KiATO,CL8SF,Reminder,1 (Minor),no offence,Chatting During Race,(19:08)
,KiATO,CL11R1,Reminder,2 (Moderate),no offence,Divebomb,
,KiATO,JL4R5,Reminder,1 (Minor),no offence,Edging,"(9:43) once pass is made, keep in mind open lane beside you"
,KiATO,CL8F9,Reminder,1 (Minor),no offence,Unsafe Track Re-Entry ,(30:09)
,KiATO,JL6R2,Reminder 2,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,
,KiATO,CL11R4,Reminder 2,1 (Minor),no offence,Unsafe Track Re-Entry , https://youtu.be/rg1VziG2N3A?t=12
,KiATO,CL9F8,Warning,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,https://youtu.be/ySuNPE938Vs?t=1304
,KiATO,CL11R4,Warning,1 (Minor),no offence,Unsafe Track Re-Entry ,https://www.youtube.com/watch?v=rg1VziG2N3A&t=193s
,Kisir,CL11F6,Absolute Warning,3 (Major),no offence,Unsportsmanlike Conduct,https://youtu.be/FsIl5dm5DBQ?t=935
,Kisir,CL11F6,Final Warning,1 (Minor),no offence,Chatting During race,https://youtu.be/FsIl5dm5DBQ?t=935
,Kisir,JL8R4,Reminder,1 (Minor),no offence,Chatting During Countdown,
,Kisir,JL8R4,Reminder,1 (Minor),no offence,Edging,https://youtu.be/-SJURdJQK7U?t=435
,Kisir,JL10R5,Reminder,1 (Minor),no offence,Late Break,6:46.89
,Kisir,CL10R4,Reminder,1 (Minor),no offence,Unsafe Track Re-Entry,https://youtu.be/k88cVdG679Y?t=934
,Kisir,CL11S5,Reminder,1 (Minor),no offence,Unsportsmanlike Conduct,do not block soemone comg back on track https://youtu.be/XJ7YFaOFv-o?t=662
,Kisir,JL10R1,Reminder 2,1 (Minor),no offence,Unsafe Track Re-Entry,
,Kisir,JL11R2,Time-Penalty (5s),1 (Minor),1st offence,Chatting During Countdown,
,L. Carino,JL6R3,Final Warning,2 (Moderate),no offence,Divebomb,https://youtu.be/N5Ye3gjsAOM?t=362
,L. Carino,JL5R1,Reminder,1 (Minor),no offence,Agressive Driving - Divebomb,(17:21)
,L. Carino,CL8S9,Reminder,1 (Minor),no offence,Agressive Driving - Track Limits Drawing Penalty,(14:21)
,L. Carino,JL5R5,Reminder,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,(9:29)
,L. Carino,JL5R4,Reminder,1 (Minor),no offence,Chatting During Countdown,
,L. Carino,JL5R4,Reminder,1 (Minor),no offence,Leaving Race Before Results,
,L. Carino,JL6R3,Reminder ,1 (Minor),no offence,Pit Violation : Improper Entry,https://youtu.be/N5Ye3gjsAOM?t=415
,L. Carino,CL8S9,Reminder 2,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,(16:20)
,L. Carino,JL6R2,Reminder 2,1 (Minor),no offence,Chatting During race,
,L. Davydov,CL8F1,Reminder,1 (Minor),no offence,Careless Driving - Edging/Lane Changing,(23:13) Swerving ahead of drivers is big risk when choosing corner lines
,Leito,May '23,Season Ban,5 (Absolute),CONTRACT,Cancelling a FT contract mid-season,Must wait until end of season to Race
,Levioso,SLX7,Warning,1 (Minor),1st offence,Chatting During Race - FIA not permitted,
,LOLOLOL,JL8R5,Reminder,1 (Minor),no offence,Late break,01:43
,LOLOLOL,JL10R5,Reminder,1 (Minor),no offence,Leaving open lanes,:40.19
,LOLOLOL,CL11F6,Reminder,1 (Minor),no offence,Unsafe Track Re-Entry ,https://youtu.be/FsIl5dm5DBQ?t=1160
,LOLOLOL,UL14R6,Warning,1 (Minor),no offence,Late break,https://youtu.be/WMLv_ZKa1eQ?t=333
,M. Andries,CL10,1 Team Race Ban,4 (Severe),1st offence,Attacking another player in chat/lobby,(Mike) accusing him (lying) of being the alt by protecting the real fraudster
,M. Andries,CL10,1 Team Race Ban,3 (Major),1st offence,Conspiring to commit infractions,Consipiring to commit level 5 infractions on track by brokering a deal with a known fraud
,M. Andries,CL10,1 Team Race Ban,3 (Major),1st offence,Ignoring SLO / FIA,Interfering with FIA requests by refusing to identify the alt when he knew who it was
,M. Andries,CL10,1 Team Race Ban,5 (Absolute),1st offence,Travesty of the Sport,Perpetuatiing  the storyline about having a fraud race for him and harboring a known cheater / not revealing identity after knowing
,M. Andries,CL8S8,Reminder,1 (Minor),no offence,Careless Driving - Divebombing,(9:34)
,M. Andries,SL11R4,Reminder,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,(35:11) he gave the position back to Sewasd after the incident
,M. Andries,CL8S3,Reminder,1 (Minor),no offence,Chatting During Countdown,
,M. Andries,CL9F4,Reminder ,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,https://youtu.be/e6-DL1aBqTs?t=838
,M. Andries,CL8S4,Reminder 2,1 (Minor),no offence,Chatting During Countdown,
,Marianfrias,UL13R3,Reminder,1 (Minor),no offence,Chatting During Countdown,
,Marianfrias,UL12R3,Reminder,1 (Minor),no offence,Late Break,https://youtu.be/D8rKVJnREOg?t=312
,Mascabrevas,JL8R3,CONNECTION,4 (Severe),CONNECTION,Severe Lag ,Reminded to DNF in this situation
,Mascabrevas,JL4R2,Reminder,2 (Moderate),no offence,Entering a lobby mid-race,Re-Entering Race After connection-DNF
,Mascabrevas,JL8R5,Reminder,1 (Minor),no offence,Late break,08:30
,Mascabrevas,JL7R4,Reminder ,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,https://youtu.be/6imH3M5Jkb8?t=178
,Mascabrevas,JL6R4,Reminder ,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,https://youtu.be/ByMkgkjmnEc?t=10
,Mascabrevas,JL7R4,Reminder ,1 (Minor),no offence,Unsafe Track Re-Entry,https://youtu.be/6imH3M5Jkb8?t=17
,Mastee,JL10R1,Reminder,1 (Minor),no offence,Chatting During Countdown,
,Mastee,JL10R1,Warning,2 (Moderate),1st offence,aggressive -  divebomb,https://youtu.be/rOmw4bczRqU?t=559
,Mastee,JL10R1,Warning Reminder,2 (Moderate),no offence,Divebomb,
,MatiMar,CL11S6,Final Warning,1 (Minor),no offence,Leaving open lanes,https://youtu.be/FsIl5dm5DBQ?t=135
,MatiMar,CL11S5,Final Warning,1 (Minor),no offence,Leaving open lanes,https://youtu.be/XJ7YFaOFv-o?t=734
,MatiMar,JL6R2,Reminder,1 (Minor),no offence,Abrupt Lane-Change,https://youtu.be/nFARHXjbxbI?t=200
,MatiMar,UL13R3,Reminder,2 (Moderate),no offence,Agressive Driving - Swerving,https://discord.com/channels/449754203238301698/903800685697593344/1132748562476834899
,MatiMar,JL6R1,Reminder,2 (Moderate),no offence,Bumping Off-Track,https://youtu.be/ULvMSCM8ZiU?t=215 (3:35)
,MatiMar,JL6R1,Reminder,1 (Minor),no offence,Chatting During Countdown,https://youtu.be/ULvMSCM8ZiU?t=745
,MatiMar,JL6R3,Reminder,1 (Minor),no offence,Edging,https://youtu.be/N5Ye3gjsAOM?t=576
,Matimar,CL11R1,Reminder,1 (Minor),no offence,Edging,
,MatiMar,CL9S1,Reminder,1 (Minor),no offence,Late Break,https://www.youtube.com/watch?v=8jH80NXqlnY
,MatiMar,JL6R3,Reminder,1 (Minor),no offence,Unsafe track re-entry,https://youtu.be/mZTw1vdH314?t=593
,MatiMar,CL9S8,Reminder ,1 (Minor),no offence,Leaving open Lanes,https://youtu.be/ySuNPE938Vs?t=168
,MatiMar,JL7R4,Reminder 2,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,(3:26)
,MatiMar,JL6R5,Reminder 2,1 (Minor),no offence,Late Break,https://youtu.be/fDyQAN3XVUQ?t=322
,MatiMar,JL6R3,Reminder 2,1 (Minor),no offence,Leaving Open lanes,https://youtu.be/N5Ye3gjsAOM?t=586
,MatiMar,CL9F4,Warning,2 (Moderate),no offence,Divebomb,https://youtu.be/e6-DL1aBqTs?t=864
,MatiMar,CL11R4,Warning,1 (Minor),no offence,Leaving open lanes, https://youtu.be/rg1VziG2N3A?t=12
,Monaco GP,JL6R3,Reminder,1 (Minor),no offence,Driving Off-Track (penalty risk),https://youtu.be/mZTw1vdH314?t=385
,Monaco GP,JL6R4,Reminder,1 (Minor),no offence,Late Break,https://youtu.be/T3hHb0x1zdM?t=29
,Monaco GP,JL6R4,Reminder,1 (Minor),no offence,Unsafe Track Re-Entry,
,Monaco GP,May '23,Season Ban,5 (Absolute),CONTRACT,Cancelling a FT contract mid-season,Must wait until end of season to Race
,Mr. Krunk,CL8F9,5p Grid Penalty (JL),1 (Minor),2nd offence,Chatting During Race,Will Start from back of next CL Race due to 2 combined penalties
,Mr. Krunk,CL8F9,5p Grid Penalty (JL),2 (Moderate),2nd offence,Joining Lobby Mid-Race,Will Start from back of next CL Race due to 2 combined penalties
,Mr. Krunk,CL10F1,Drivethrough Penalty,1 (Minor),3rd offence,Chatting During Race,Will take penalty in JL - (highest main seat)
,Mr. Krunk,JL8R3,Reminder,1 (Minor),no offence,Abrupt Lane Change,https://youtu.be/-RtJPLGJu54?t=1095
,Mr. Krunk,CL8S2,Reminder,1 (Minor),no offence,Agressive Driving - Divebomb,(5:14)
,Mr. Krunk,JL5R2,Reminder,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,(10:48) 
,Mr. Krunk,SL11R3,Reminder,1 (Minor),no offence,Chatting During Race,
,Mr. Krunk,CL8F5,Reminder,1 (Minor),no offence,Leaving Race on manual DNF,
,Mr. Krunk,JL6R4,Reminder 2,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,https://youtu.be/ByMkgkjmnEc?t=4
,Mr. Krunk,CL9S1,Reminder 2,1 (Minor),no offence,Late Break,https://youtu.be/8jH80NXqlnY?t=177
,Mr. Krunk,JL5R2,Time-Penalty (5s),1 (Minor),1st offence,Chatting during race, (10:44)
,Mr. Krunk,CL8SF,Time-Penalty (5s),1 (Minor),1st offence,Chatting during race,(2nd time in same day therefore only penalize the SAME penalty)
,Mr. Krunk,CL8F5,Warning,1 (Minor),no offence,Chatting During Race,NEXT OFFENCE 5s Penalty
,Mr. Krunk,CL8S6,Warning,1 (Minor),1st offence,Entering Lobby During Race,Has already been reminded about this rule before
,Mr.Monza,JL11R1,Final Warning,1 (Minor),no offence,Chatting During Countdown,
,Mr.Monza,JL11R1,Reminder,1 (Minor),no offence,Divebomb,https://youtu.be/iW_k6-u5HmI?t=284
,Mr.Monza,JL11R1,Warning,1 (Minor),no offence,Agressive Lane Change,https://youtu.be/iW_k6-u5HmI?t=1038
,Mr.Monza,JL11R2,Time-Penalty (5s),1 (Minor),1st offence,Chatting During Countdown,
,Mr.Monza,JL11R2,Warning,2 (Moderate),no offence,Divebomb,https://youtu.be/hXxa-_v4myg?t=49
,Mr.Monza,UL14,Server Mute Warning,4 (Severe),no offence,Hatee Speech / Harrassment / Toxic Chat,For incidents btw Nov 15-23
,Mr.Monza,UL14,Server Mute F. Warning,4 (Severe),no offence,Hatee Speech / Harrassment / Toxic Chat,For incidents btw Nov 23-27
,MrBubbles,JL10R5,Final Warning,1 (Minor),no offence,Chatting During Race,
,MrBubbles,JL10R5,Reminder,1 (Minor),no offence,Leaving open lanes,14:11.13
,MrBubbles,CL11S5,Reminder,1 (Minor),no offence,Leaving open lanes,https://youtu.be/z_lE25L6Nhc?t=435
,nomscar,SL11R5,Reminder,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,(4:09 ) inside-outside pushing off bud and Nuno
,Nuno,SL11R8,Reminder,1 (Minor),no offence,Careless Driving - Divebombing,(9:35)
,Nuno,SL11R10,Reminder,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,(4:43)
,Nuno,SL11R9,Reminder,1 (Minor),no offence,Chatting During Countdown,
,OddKoopa,JL5R4,CONNECTION,3 (Major),CONNECTION,,
,OddKoopa,JL5R4,Reminder,1 (Minor),no offence,Chatting During Countdown,
,OddKoopa,CL8S8,Reminder,1 (Minor),no offence,Leaving Open Lanes,(5:56)
,Ostigaosten,JL5R3,Reminder,1 (Minor),no offence,Careless Driving - Divebombing,(8:10) 
,Ostigaosten,JL5R4,Reminder,1 (Minor),no offence,Careless Driving - Edging,(8:10)
,Pemucius,UL13,4 Race Ban,5 (Absolute),1st offence,Travesty of the Sport ,Racing as an Alias in a CL League Race - Ban will last 1 race into S14
,Pemucius,UL12R4,Final Warning,2 (Moderate),no offence,Aggressive Driving - Bumping/Swerving ,https://cdn.discordapp.com/attachments/839133260830867487/1100534837967859803/ul12-r3-pemu.mp4
,Pemucius,SL11R8,Reminder,2 (Moderate),no offence,Aggressive Driving - Bumping/Swerving ,(30:16
,Pemucius,SLXR8,Reminder,2 (Moderate),no offence,Agressive Driving,Reminded to respect lanes and lines even in last laps of race - respect the battle
,Pemucius,UL12R8,Reminder,1 (Minor),no offence,Careless Driving - Abrupt Lane-Change,https://youtu.be/pUgw6mdiXow?t=674
,Pemucius,UL12R1,Reminder,1 (Minor),no offence,Careless Driving - Divebomb,https://gyazo.com/2516b0e0ae07359391d78bf2d02d8c15
,Pemucius,SL11R2,Reminder,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,(6:10)
,Pemucius,SL11R9,Reminder,1 (Minor),no offence,Chatting During Countdown,
,Pemucius,UL13R3,Reminder,2 (Moderate),no offence,Post-Race Arguing /Instigating,
,Pemucius,SL11R5,Reminder,1 (Minor),no offence,Unsafe Track Re-Entry,(4:29)
,Pemucius,UL13R3,Reminder 2,1 (Minor),no offence,Careless Driving - Abrupt Lane-Change,
,Pemucius,SL11R3,Reminder 2,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,(9:35  &  9:43) 2 swipes in a row
,Pemucius,SL11R10,Reminder 2,1 (Minor),no offence,Careless Driving - Swerving,(16:59
,Pemucius,UL13R3,Reminder 2,1 (Minor),no offence,Late Break,https://youtu.be/N1UDXaF005w?t=676
,Pemucius,UL12R1,Warning,2 (Moderate),no offence,Aggressive Driving - Bumping/Swerving ,https://gyazo.com/2b1c19eca0dd79c555593e8cdafdc4d6
,Pemucius,UL13R3,Warning,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,https://youtu.be/N1UDXaF005w?t=472
,Pemucius,UL12R1,Warning,1 (Minor),no offence,Careless Driving - Swerving,https://gyazo.com/6b035121ed1a7210e8e4a46663d9c710
,priya,JL6R4,CONNECTION,4 (Severe),CONNECTION,Teleoprting,DNFd
,priya,CL9F4,CONNECTION,4 (Severe),CONNECTION,Teleporting,https://youtu.be/e6-DL1aBqTs?t=1200
,priya,JL6R5,Reminder,2 (Moderate),no offence,Agressive Driving - Divebomb,https://youtu.be/fDyQAN3XVUQ?t=315
,priya,JL6R5,Reminder,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,https://youtu.be/fDyQAN3XVUQ?t=300
,priya,JL6R5,Reminder,1 (Minor),no offence,Late Break,https://youtu.be/fDyQAN3XVUQ?t=644
,priya,CL9F4,Reminder ,1 (Minor),no offence,Swerving ,https://youtu.be/e6-DL1aBqTs?t=855
,priya,JL8R3,Reminder 2,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,https://youtu.be/3KNFAaJG3FM?t=773
,priya,JL6R5,Reminder 2,1 (Minor),no offence,Swerving ,https://youtu.be/fDyQAN3XVUQ?t=390
,priya,JL7R4,Warning,2 (Moderate),no offence,Agressive Driving - Divebomb,(:33) +(:42)
,priya,JL7R1,Warning,3 (Major),no offence,Leaving Race on manual DNF,
,ProLime4,JL8R3,Reminder,1 (Minor),no offence,Chatting During Countdown,
,ProLime4,CL10R4,Reminder,1 (Minor),no offence,Unsafe Track Re-Entry,https://youtu.be/k88cVdG679Y?t=934
,Pumpk1n,UL14R3,Warning,1 (Minor),no offence,"Edging (Last Lap, Last Corner Incident)",position given back to M. Andries
,R3DACTED,JL6R5,Reminder,1 (Minor),no offence,Edging,https://youtu.be/fDyQAN3XVUQ?t=625
,R3DACTED,May '23,Season Ban,5 (Absolute),CONTRACT,Cancelling a FT contract mid-season,Must wait until end of season to Race
,R3DACTED,JL8,Season Ban,5 (Absolute),CONTRACT,Impersonating / ALt Account,Must wait until end of season to Race
,Rams,May '23,Season Ban,5 (Absolute),CONTRACT,Cancelling a FT contract mid-season,Must wait until end of season to Race
,Rhozzim,SL Gen,5 race ban,CONTRACT,1st offence,Cancelling a contract mid-season,Must wait until mid-season or 5 races - may only AnR for MAY upon return
,Rhozzim,UL13R3,Reminder,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,https://youtu.be/N1UDXaF005w?t=666
,Rhozzim,CL9F1,Reminder,1 (Minor),no offence,Filing complaints that did not elicit Penalties,Reminded to make sure there is more than just lag / error. (sent in 14 clips less than half were infractions)
,RikkieBoy,JL8R3,Reminder,1 (Minor),no offence,Leaving Open Lanes,https://youtu.be/3KNFAaJG3FM?t=347
